Timestamp,Price,Volume,DataType,Correction,MarketState
20260526 12:00:11.408,4504.6,1,B,R,N
20260526 12:00:11.408,4504.7,1,A,R,N
20260526 12:00:11.408,4504.5,3,B,R,N
20260526 12:00:11.644,4504.5,2,B,R,N
20260526 12:00:11.644,4504.7,2,A,R,N
20260526 12:00:11.644,4504.5,3,B,R,N
20260526 12:00:11.644,4504.5,2,B,R,N
20260526 12:00:11.644,4504.7,3,A,R,N
20260526 12:00:11.644,4504.6,1,A,R,N
20260526 12:00:11.644,4504.5,1,B,R,N
20260526 12:00:11.676,4504.4,2,B,R,N
20260526 12:00:11.676,4504.4,3,B,R,N
20260526 12:00:11.680,4504.4,4,B,R,N
20260526 12:00:11.680,4504.4,5,B,R,N
20260526 12:00:11.680,4504.4,4,B,R,N
20260526 12:00:11.680,4504.6,1,T,R,N
20260526 12:00:11.680,4504.7,3,A,R,N
20260526 12:00:11.680,4504.4,3,B,R,N
20260526 12:00:11.680,4504.5,1,B,R,N
20260526 12:00:11.680,4504.5,2,B,R,N
20260526 12:00:11.680,4504.7,2,A,R,N
20260526 12:00:11.680,4504.5,3,B,R,N
20260526 12:00:11.680,4504.7,1,A,R,N
20260526 12:00:11.680,4504.5,4,B,R,N
20260526 12:00:11.680,4504.5,5,B,R,N
20260526 12:00:11.680,4504.5,4,B,R,N
20260526 12:00:11.680,4504.6,1,B,R,N
20260526 12:00:11.680,4504.5,4,B,R,N
20260526 12:00:11.680,4504.7,2,A,R,N
20260526 12:00:11.680,4504.7,1,A,R,N
20260526 12:00:11.696,4504.7,2,A,R,N
20260526 12:00:11.772,4504.7,1,A,R,N
20260526 12:00:11.928,4504.8,4,A,R,N
20260526 12:00:12.028,4504.7,1,A,R,N
20260526 12:00:12.080,4504.8,4,A,R,N
20260526 12:00:12.588,4504.8,3,A,R,N
20260526 12:00:12.588,4504.6,1,B,R,N
20260526 12:00:12.588,4504.8,2,A,R,N
20260526 12:00:12.588,4504.6,2,B,R,N
